analysis_type,SITE_ID,Start_Date,End_Date,Num_Years,acf_SO2_Lag,fft_SO2_Period,acf_SO4_Lag,fft_SO4_Period,acf_HNO3_Lag,fft_HNO3_Period,acf_NO3_Lag,fft_NO3_Period,acf_TNO3_Lag,fft_TNO3_Period,acf_NH4_Lag,fft_NH4_Period,acf_CA_Lag,fft_CA_Period,acf_K_Lag,fft_K_Period,acf_MG_Lag,fft_MG_Period,acf_Sodium_Lag,fft_Sodium_Period
same3len,CHA467,2012-07-29,2015-07-29,3.0,48,26.67,50,53.33,53,53.33,50,53.33,50.0,53.33,24,53.33,7,53.33,52,53.33,7,53.33,43,53.33
same3len,CHA467,2019-01-22,2022-01-22,3.0,42,80,19,53.33,4,53.33,13,53.33,49.0,53.33,34,53.33,14,53.33,43,53.33,30,53.33,13,53.33
same3len,CHA467,2003-07-29,2006-07-29,3.0,58,40,36,53.33,22,53.33,4,53.33,22.0,53.33,36,53.33,26,53.33,107,53.33,26,53.33,4,53.33
seg,CHE185,2009-01-27,2019-08-06,10.52,106,52.36,57,52.36,51,52.36,18,52.36,57.0,52.36,241,52.36,57,96,42,52.36,39,52.36,22,52.36
same5len,CHE185,2009-01-27,2014-01-27,5.0,69,54,28,54,92,54,92,54,57.0,54.0,28,54.0,84,19.29,26,54,99,54,79,54
same5len,CHE185,2014-01-27,2019-01-27,5.0,111,54,120,54,8,54,18,54,57.0,54.0,89,54.0,39,6.43,42,54,39,54,24,54
same3len,CHE185,2002-04-02,2005-04-02,3.0,37,53.33,7,53.33,27,53.33,5,53.33,76.0,53.33,49,26.67,NA,NA,NA,NA,37,53.33,50,16
same3len,CHE185,2020-09-15,2023-09-15,3.0,27,53.33,16,53.33,33,16,14,53.33,41.0,53.33,5,26.67,69,7.27,41,53.33,58,53.33,26,53.33
same3len,CHE185,2015-01-27,2018-01-27,3.0,93,53.33,93,53.33,8,26.67,18,53.33,18.0,53.33,46,26.67,52,40,57,53.33,64,53.33,42,53.33
same3len,CHE185,2009-01-27,2012-01-27,3.0,71,53.33,9,53.33,9,53.33,28,53.33,22.0,53.33,28,53.33,35,22.86,36,53.33,15,53.33,14,53.33
same3len,CHE185,2012-01-27,2015-01-27,3.0,96,53.33,62,53.33,5,53.33,4,53.33,37.0,53.33,62,53.33,27,10,4,53.33,45,53.33,4,53.33
seg,CKT136,2018-05-01,2024-07-09,6.19,14,54,75,54.0,35,54,12,54,38.0,54.0,35,27.0,52,27,28,54,10,54,130,54
same5len,CKT136,2018-05-01,2023-05-01,5.0,103,54,17,27,50,54,12,54,38.0,54.0,95,27.0,89,27,77,54,52,54,43,54
same3len,CKT136,2003-09-09,2006-09-09,3.0,12,53.33,17,53.33,12,53.33,11,53.33,12.0,53.33,4,53.33,44,26.67,109,53.33,6,26.67,44,53.33
same3len,CKT136,2000-01-04,2003-01-04,3.0,31,53.33,46,53.33,22,53.33,15,53.33,39.0,53.33,28,53.33,15,26.67,24,53.33,15,26.67,37,53.33
same3len,CKT136,2021-05-01,2024-05-01,3.0,9,53.33,52,53.33,24,53.33,12,53.33,14.0,53.33,52,10.67,52,26.67,7,53.33,35,26.67,29,53.33
same3len,CKT136,2018-05-01,2021-05-01,3.0,10,53.33,17,26.67,80,53.33,23,53.33,19.0,53.33,56,26.67,42,26.67,9,53.33,27,53.33,43,17.78
seg,CND125,2004-08-17,2016-08-09,11.98,151,53.33,209,53.33,209,53.33,166,53.33,55.0,53.33,29,49.23,86,25.6,150,53.33,138,26.67,31,26.67
seg,CND125,2017-09-26,2023-07-25,5.83,9,53.33,15,53.33,59,29.09,67,53.33,163.0,53.33,9,26.67,21,26.67,35,53.33,43,26.67,43,26.67
same5len,CND125,2009-08-17,2014-08-17,5.0,36,54,106,54,64,67.5,151,54,60.0,54.0,142,27.0,5,27,62,54,31,27,31,27
same5len,CND125,2017-09-26,2022-09-26,5.0,80,54,15,54,59,54,90,54,12.0,54.0,9,19.29,21,27,112,54,43,27,43,27
same5len,CND125,2004-08-17,2009-08-17,5.0,116,54,51,54,51,54,4,54,110.0,54.0,70,54.0,47,54,29,54,98,27,31,27
same3len,CND125,2017-09-26,2020-09-26,3.0,9,53.33,69,53.33,59,8,57,53.33,54.0,53.33,63,8.89,15,53.33,15,53.33,20,26.67,57,26.67
same3len,CND125,2004-08-17,2007-08-17,3.0,43,53.33,51,53.33,51,53.33,31,53.33,43.0,53.33,13,53.33,18,53.33,29,53.33,4,53.33,31,20
same3len,CND125,2010-08-17,2013-08-17,3.0,46,53.33,4,53.33,64,80,6,53.33,10.0,53.33,75,26.67,25,26.67,14,53.33,12,26.67,33,26.67
same3len,CND125,2000-01-25,2003-01-25,3.0,5,53.33,5,53.33,11,53.33,25,53.33,13.0,53.33,5,53.33,10,26.67,NA,NA,15,53.33,36,14.55
same3len,CND125,2007-08-17,2010-08-17,3.0,22,53.33,10,53.33,22,160,15,53.33,6.0,53.33,85,26.67,5,26.67,42,53.33,29,53.33,29,26.67
seg,CNT169,2000-01-04,2016-09-13,16.69,170,52.94,255,52.94,6,52.94,NA,NA,49.0,52.94,52,52.94,96,52.94,NA,NA,NA,NA,NA,NA
same5len,CNT169,2000-01-04,2005-01-04,5.0,9,19.29,18,54,6,54,NA,NA,49.0,54.0,52,54.0,NA,NA,NA,NA,NA,NA,NA,NA
same5len,CNT169,2010-01-04,2015-01-04,5.0,4,27,4,54,49,54,86,54,86.0,54.0,62,54.0,86,54,NA,NA,NA,NA,NA,NA
same5len,CNT169,2005-01-04,2010-01-04,5.0,104,54,61,54,19,54,NA,NA,8.0,54.0,19,54.0,81,54,NA,NA,NA,NA,NA,NA
same3len,CNT169,2009-01-04,2012-01-04,3.0,22,NA,11,NA,10,NA,NA,NA,10.0,NA,11,NA,7,NA,NA,NA,NA,NA,NA,NA
same3len,CNT169,2003-01-04,2006-01-04,3.0,29,80,31,53.33,38,53.33,NA,NA,49.0,53.33,16,53.33,NA,NA,NA,NA,NA,NA,NA,NA
same3len,CNT169,2020-10-27,2023-10-27,3.0,85,53.33,9,53.33,60,53.33,9,53.33,6.0,53.33,9,53.33,4,53.33,NA,NA,NA,NA,4,53.33
same3len,CNT169,2006-01-04,2009-01-04,3.0,33,4.71,55,53.33,8,53.33,NA,NA,33.0,53.33,33,53.33,81,53.33,NA,NA,NA,NA,NA,NA
same3len,CNT169,2012-01-04,2015-01-04,3.0,4,26.67,4,53.33,49,53.33,47,53.33,55.0,53.33,4,53.33,4,53.33,NA,NA,NA,NA,18,53.33
same3len,CNT169,2000-01-04,2003-01-04,3.0,27,4.57,44,53.33,6,53.33,55,53.33,6.0,53.33,52,53.33,16,53.33,16,53.33,NA,NA,25,53.33
same3len,CON186,2003-06-17,2006-06-17,3.0,20,53.33,48,53.33,NA,NA,31,53.33,14.0,53.33,38,53.33,NA,NA,4,53.33,48,53.33,9,53.33
same3len,CON186,2006-07-04,2009-07-04,3.0,16,53.33,54,53.33,6,53.33,62,53.33,6.0,53.33,6,53.33,28,53.33,9,53.33,28,53.33,45,53.33
seg,COW137,2000-01-04,2019-11-05,19.84,9,51.43,206,51.43,22,51.43,NA,NA,147.0,51.43,206,51.43,81,51.43,NA,NA,NA,NA,62,51.43
same5len,COW137,2000-01-04,2005-01-04,5.0,9,54,46,54,9,54,NA,NA,9.0,54.0,46,54.0,41,54,22,54,12,54,69,135
same5len,COW137,2010-01-04,2015-01-04,5.0,79,54,37,54,61,54,17,54,101.0,54.0,25,54.0,13,27,169,54,NA,NA,33,54
same5len,COW137,2005-01-04,2010-01-04,5.0,20,54,55,54,40,54,NA,NA,40.0,54.0,92,54.0,7,54,51,54,120,54,20,54
same3len,COW137,2003-01-04,2006-01-04,3.0,14,53.33,24,53.33,65,53.33,NA,NA,12.0,53.33,24,53.33,12,53.33,5,53.33,12,53.33,67,80
same3len,COW137,2015-01-04,2018-01-04,3.0,51,53.33,24,53.33,10,53.33,13,53.33,51.0,53.33,18,53.33,11,53.33,10,53.33,35,53.33,50,53.33
same3len,COW137,2000-01-04,2003-01-04,3.0,72,53.33,46,53.33,24,53.33,NA,NA,37.0,53.33,46,53.33,27,53.33,22,53.33,52,53.33,56,53.33
same3len,COW137,2012-01-04,2015-01-04,3.0,6,53.33,37,53.33,61,53.33,62,53.33,101.0,53.33,25,53.33,13,26.67,27,53.33,64,53.33,33,53.33
same3len,COW137,2019-11-12,2022-11-12,3.0,NA,NA,38,53.33,11,53.33,50,53.33,47.0,53.33,38,53.33,21,53.33,6,53.33,51,53.33,83,53.33
same3len,COW137,2009-01-04,2012-01-04,3.0,11,53.33,25,53.33,25,53.33,NA,NA,25.0,53.33,25,53.33,94,53.33,40,53.33,17,53.33,112,53.33
same3len,COW137,2006-01-04,2009-01-04,3.0,20,53.33,14,53.33,40,53.33,NA,NA,40.0,53.33,22,53.33,47,53.33,47,53.33,34,53.33,6,53.33
seg,CTH110,2001-08-28,2012-10-02,11.1,185,50,225,50.0,91,54.55,31,54.55,96.0,50.0,14,54.55,23,50,167,50,NA,NA,94,54.55
seg,CTH110,2016-01-05,2024-07-09,8.51,15,50,98,26.47,77,50,110,50,34.0,50.0,123,26.47,153,50,48,50,135,50,179,50
same5len,CTH110,2001-08-28,2006-08-28,5.0,45,54,57,54,39,54,145,54,11.0,54.0,14,54.0,34,54,NA,NA,23,54,100,54
same5len,CTH110,2006-08-28,2011-08-28,5.0,64,54,25,54,32,54,91,54,44.0,54.0,25,27.0,135,54,21,54,135,54,65,54
same5len,CTH110,2016-01-05,2021-01-05,5.0,41,54,59,27,13,54,47,54,29.0,54.0,17,54.0,100,54,100,54,178,54,22,54
same3len,CTH110,2004-08-28,2007-08-28,3.0,23,53.33,42,53.33,11,53.33,31,53.33,11.0,53.33,34,53.33,14,53.33,11,53.33,14,53.33,33,53.33
same3len,CTH110,2007-08-28,2010-08-28,3.0,15,53.33,44,53.33,7,53.33,18,53.33,7.0,53.33,21,26.67,34,53.33,4,53.33,17,53.33,33,53.33
same3len,CTH110,2001-08-28,2004-08-28,3.0,7,53.33,57,53.33,63,6.67,49,53.33,41.0,53.33,15,53.33,23,53.33,NA,NA,23,53.33,27,53.33
same3len,CTH110,2016-01-05,2019-01-05,3.0,71,53.33,47,26.67,31,53.33,47,53.33,43.0,53.33,47,26.67,46,53.33,13,53.33,22,53.33,25,53.33
same3len,CTH110,2019-01-05,2022-01-05,3.0,46,53.33,39,4.32,77,53.33,9,53.33,9.0,53.33,25,53.33,40,53.33,43,53.33,40,53.33,44,53.33
seg,CVL151,2009-01-20,2019-08-06,10.54,18,52.36,8,52.36,101,52.36,86,52.36,47.0,52.36,203,26.18,81,96,45,52.36,157,52.36,79,52.36
seg,CVL151,2000-06-13,2005-08-23,5.19,19,57.6,150,48.0,49,57.6,14,48,49.0,57.6,46,48.0,130,9,19,48,84,48,43,48
same5len,CVL151,2000-06-13,2005-06-13,5.0,19,54,150,54,49,54,14,54,52.0,54.0,46,54.0,130,12.86,19,54,29,54,43,8.44
same5len,CVL151,2014-01-20,2019-01-20,5.0,29,54,4,54,12,67.5,46,54,18.0,54.0,27,27.0,59,4.29,17,54,79,54,79,54
same5len,CVL151,2009-01-20,2014-01-20,5.0,9,54,49,54,56,54,42,54,47.0,54.0,16,12.86,42,24.55,27,54,63,54,39,54
same3len,CVL151,2015-01-20,2018-01-20,3.0,18,53.33,89,53.33,12,6.15,64,53.33,18.0,53.33,43,26.67,74,6.15,14,53.33,89,53.33,14,53.33
same3len,CVL151,2009-01-20,2012-01-20,3.0,9,53.33,48,53.33,42,53.33,47,53.33,37.0,53.33,48,13.33,80,22.86,57,53.33,39,53.33,39,53.33
same3len,CVL151,2000-06-13,2003-06-13,3.0,42,53.33,46,53.33,55,4.21,54,53.33,52.0,53.33,46,53.33,54,8.89,6,53.33,26,53.33,74,53.33
same3len,CVL151,2020-06-09,2023-06-09,3.0,45,53.33,22,53.33,64,53.33,99,53.33,6.0,53.33,22,17.78,51,20,55,53.33,51,53.33,22,53.33
same3len,CVL151,2012-01-20,2015-01-20,3.0,9,53.33,49,53.33,56,53.33,94,53.33,9.0,53.33,19,22.86,36,5.16,9,53.33,9,53.33,33,53.33
seg,DCP114,2000-01-04,2008-09-09,8.68,37,53.33,11,53.33,6,53.33,113,53.33,50.0,53.33,24,53.33,42,53.33,52,53.33,27,53.33,117,53.33
seg,DCP114,2008-09-23,2015-11-10,7.13,216,53.57,51,53.57,191,53.57,95,53.57,74.0,53.57,25,26.79,60,26.79,57,53.57,40,53.57,33,53.57
seg,DCP114,2016-03-15,2022-05-10,6.15,28,54,54,27.0,54,54,106,54,153.0,54.0,54,54.0,28,54,52,54,153,54,43,54
same5len,DCP114,2000-01-04,2005-01-04,5.0,60,54,55,54,60,54,18,54,159.0,54.0,72,54.0,27,22.5,104,54,42,54,117,54
same5len,DCP114,2008-09-23,2013-09-23,5.0,67,54,62,54,55,54,68,54,90.0,54.0,62,27.0,65,27,81,54,65,54,33,54
same5len,DCP114,2016-03-15,2021-03-15,5.0,28,54,9,27,54,54,47,54,56.0,54.0,51,54.0,28,54,52,54,153,54,43,54
same3len,DCP114,2003-01-04,2006-01-04,3.0,60,53.33,26,53.33,21,53.33,18,53.33,34.0,53.33,26,53.33,42,13.33,63,53.33,42,53.33,40,53.33
same3len,DCP114,2008-09-23,2011-09-23,3.0,62,53.33,62,53.33,31,53.33,82,53.33,82.0,53.33,25,26.67,17,26.67,47,53.33,29,53.33,54,53.33
same3len,DCP114,2016-03-15,2019-03-15,3.0,28,53.33,54,6.67,56,53.33,47,53.33,47.0,53.33,47,53.33,28,26.67,50,53.33,37,53.33,43,53.33
same3len,DCP114,2000-01-04,2003-01-04,3.0,9,53.33,55,53.33,55,53.33,74,53.33,5.0,53.33,6,53.33,27,9.41,26,53.33,47,53.33,4,53.33
same3len,DCP114,2019-03-15,2022-03-15,3.0,25,53.33,54,26.67,48,53.33,40,53.33,14.0,53.33,20,26.67,25,53.33,52,53.33,65,53.33,43,53.33
same3len,DCP114,2011-09-23,2014-09-23,3.0,17,53.33,51,53.33,19,53.33,7,53.33,19.0,53.33,16,26.67,54,53.33,6,53.33,8,53.33,6,53.33
seg,DEN417,2002-01-01,2017-06-27,15.49,166,50.62,152,50.62,NA,NA,NA,NA,207.0,50.62,166,50.62,NA,NA,NA,NA,NA,NA,NA,NA
seg,DEN417,2017-07-04,2023-01-03,5.5,26,48,105,48.0,NA,NA,NA,NA,47.0,48.0,68,48.0,123,48,NA,NA,NA,NA,137,48
same5len,DEN417,2002-01-01,2007-01-01,5.0,52,54,14,54,NA,NA,NA,NA,149.0,54.0,39,54.0,89,54,NA,NA,NA,NA,26,54
same5len,DEN417,2017-07-04,2022-07-04,5.0,26,54,105,54,37,54,NA,NA,47.0,54.0,68,54.0,44,54,NA,NA,NA,NA,21,54
same5len,DEN417,2007-01-01,2012-01-01,5.0,18,54,45,54,NA,NA,NA,NA,59.0,54.0,18,54.0,31,54,NA,NA,NA,NA,NA,NA
same5len,DEN417,2012-01-01,2017-01-01,5.0,40,54,77,54,51,54,NA,NA,51.0,54.0,80,54.0,44,54,NA,NA,NA,NA,66,54
same3len,DEN417,2014-01-01,2017-01-01,3.0,40,53.33,17,53.33,40,53.33,NA,NA,51.0,53.33,17,53.33,50,53.33,NA,NA,NA,NA,29,53.33
same3len,DEN417,2008-01-01,2011-01-01,3.0,36,53.33,45,53.33,52,26.67,NA,NA,22.0,53.33,18,53.33,18,53.33,NA,NA,NA,NA,45,53.33
same3len,DEN417,2002-01-01,2005-01-01,3.0,48,53.33,14,53.33,NA,NA,NA,NA,38.0,53.33,39,53.33,73,53.33,NA,NA,NA,NA,26,53.33
same3len,DEN417,2017-07-04,2020-07-04,3.0,76,53.33,114,53.33,NA,NA,NA,NA,36.0,53.33,111,53.33,44,53.33,NA,NA,NA,NA,14,53.33
same3len,DEN417,2011-01-01,2014-01-01,3.0,42,53.33,21,53.33,18,53.33,NA,NA,21.0,53.33,42,53.33,21,53.33,NA,NA,NA,NA,90,53.33
same3len,DEN417,2005-01-01,2008-01-01,3.0,43,53.33,67,53.33,46,53.33,NA,NA,36.0,53.33,21,53.33,NA,NA,NA,NA,NA,NA,NA,NA
seg,DEV412,2001-03-13,2007-07-24,6.36,69,51.43,66,51.43,140,51.43,32,51.43,66.0,51.43,6,51.43,20,51.43,32,51.43,20,51.43,20,51.43
same5len,DEV412,2001-03-13,2006-03-13,5.0,40,54,66,54,66,54,32,54,66.0,54.0,51,54.0,15,54,94,54,15,54,20,54
same3len,DEV412,2001-03-13,2004-03-13,3.0,55,53.33,66,53.33,66,53.33,11,53.33,66.0,53.33,55,53.33,15,53.33,29,53.33,15,53.33,81,53.33
same3len,DEV412,2004-03-13,2007-03-13,3.0,69,53.33,8,53.33,99,53.33,51,53.33,99.0,53.33,6,53.33,20,53.33,27,53.33,20,53.33,20,53.33
seg,DIN431,2017-07-11,2023-08-01,6.06,109,26.67,75,40.0,52,53.33,15,53.33,100.0,26.67,54,26.67,22,53.33,139,53.33,22,53.33,6,53.33
same5len,DIN431,2017-07-11,2022-07-11,5.0,109,27,67,54,46,54,15,54,125.0,27.0,25,27.0,22,54,46,54,22,54,22,54
same3len,DIN431,2020-07-11,2023-07-11,3.0,48,26.67,60,53.33,52,53.33,19,53.33,6.0,26.67,NA,NA,74,53.33,11,53.33,22,53.33,6,53.33
same3len,DIN431,2017-07-11,2020-07-11,3.0,7,26.67,45,40,33,53.33,NA,NA,33.0,26.67,95,26.67,22,53.33,67,53.33,22,53.33,46,53.33
seg,EGB181,2011-03-01,2019-04-23,8.15,132,54,230,15.43,66,54,149,54,59.0,54.0,83,54.0,22,54,27,54,9,54,40,54
seg,EGB181,2001-07-24,2007-04-24,5.75,60,53.33,11,53.33,60,53.33,11,53.33,11.0,53.33,34,26.67,11,53.33,18,53.33,57,53.33,5,53.33
same5len,EGB181,2011-03-01,2016-03-01,5.0,9,54,115,6.59,59,54,51,54,16.0,54.0,91,54.0,78,54,27,54,9,54,105,54
same5len,EGB181,2001-07-24,2006-07-24,5.0,11,54,11,54,39,54,11,54,11.0,54.0,11,16.88,89,54,11,54,123,54,27,54
same3len,EGB181,2011-03-01,2014-03-01,3.0,7,53.33,32,6.4,59,53.33,19,53.33,59.0,53.33,32,53.33,9,53.33,13,53.33,9,53.33,49,53.33
same3len,EGB181,2022-06-07,2025-06-07,3.0,81,17.78,41,5.93,12,53.33,43,53.33,43.0,53.33,27,26.67,7,26.67,12,53.33,7,53.33,43,53.33
same3len,EGB181,2014-03-01,2017-03-01,3.0,36,53.33,51,5,36,53.33,9,53.33,9.0,53.33,55,53.33,69,53.33,9,53.33,20,53.33,18,53.33
same3len,EGB181,2001-07-24,2004-07-24,3.0,18,53.33,60,53.33,75,53.33,23,53.33,15.0,53.33,46,53.33,18,53.33,18,53.33,57,53.33,27,53.33
same3len,EGB181,2007-09-11,2010-09-11,3.0,13,53.33,62,160,62,53.33,54,53.33,57.0,53.33,57,53.33,17,26.67,13,53.33,17,53.33,51,53.33
seg,ESP127,2000-01-04,2016-08-02,16.58,159,52.94,6,52.94,168,52.94,NA,NA,99.0,52.94,6,50.0,27,25.71,55,52.94,NA,NA,159,52.94
seg,ESP127,2018-06-26,2023-08-01,5.1,23,54,89,54.0,15,54,63,54,55.0,54.0,170,27.0,45,27,104,54,10,54,126,54
same5len,ESP127,2005-01-04,2010-01-04,5.0,5,54,6,54,56,54,NA,NA,104.0,54.0,61,54.0,135,54,4,54,68,54,54,54
same5len,ESP127,2010-01-04,2015-01-04,5.0,49,54,49,54,61,54,39,54,99.0,54.0,59,27.0,36,27,12,54,39,27,33,54
same5len,ESP127,2018-06-26,2023-06-26,5.0,23,54,89,54,65,54,63,54,55.0,54.0,51,27.0,45,27,66,54,10,54,126,54
same5len,ESP127,2000-01-04,2005-01-04,5.0,55,54,46,54,49,54,NA,NA,42.0,54.0,55,54.0,37,22.5,NA,NA,29,27,69,54
same3len,ESP127,2000-01-04,2003-01-04,3.0,52,53.33,46,53.33,49,53.33,NA,NA,13.0,53.33,55,53.33,24,26.67,4,53.33,15,53.33,6,53.33
same3len,ESP127,2006-01-04,2009-01-04,3.0,5,53.33,61,53.33,16,53.33,NA,NA,91.0,53.33,61,53.33,27,53.33,4,53.33,5,53.33,19,53.33
same3len,ESP127,2018-06-26,2021-06-26,3.0,16,53.33,28,8.89,52,53.33,63,53.33,55.0,53.33,56,8.89,26,26.67,8,53.33,16,53.33,43,8.42
same3len,ESP127,2003-01-04,2006-01-04,3.0,48,53.33,24,53.33,6,53.33,NA,NA,4.0,53.33,55,53.33,11,26.67,NA,NA,78,26.67,77,53.33
same3len,ESP127,2012-01-04,2015-01-04,3.0,49,53.33,6,53.33,99,53.33,39,53.33,72.0,53.33,6,13.33,36,80,24,53.33,29,53.33,33,53.33
same3len,ESP127,2009-01-04,2012-01-04,3.0,9,53.33,42,53.33,10,53.33,47,53.33,10.0,53.33,10,26.67,14,22.86,9,53.33,39,53.33,37,53.33
same3len,EVE419,2019-03-12,2022-03-12,3.0,99,6.15,20,53.33,37,4.57,8,53.33,8.0,53.33,65,53.33,41,53.33,70,53.33,37,53.33,23,53.33
same3len,EVE419,2000-01-04,2003-01-04,3.0,82,53.33,35,53.33,23,53.33,64,53.33,20.0,53.33,38,80,24,53.33,11,53.33,45,53.33,58,53.33
seg,FOR605,2013-11-05,2018-12-18,5.12,7,54,46,54.0,27,54,82,30,40.0,54.0,46,54.0,53,54,71,54,53,54,NA,NA
same5len,FOR605,2013-11-05,2018-11-05,5.0,7,54,46,54,27,54,82,30,40.0,54.0,46,54.0,53,54,NA,NA,53,54,NA,NA
same3len,FOR605,2020-09-15,2023-09-15,3.0,9,NA,19,NA,10,NA,13,NA,13.0,NA,13,NA,4,NA,7,NA,115,NA,4,NA
same3len,FOR605,2013-11-05,2016-11-05,3.0,7,53.33,49,53.33,85,53.33,67,4.1,33.0,53.33,60,53.33,45,53.33,71,53.33,28,53.33,NA,NA
seg,GAS153,2000-07-18,2024-07-09,23.98,NA,NA,81,51.2,187,71.11,NA,NA,228.0,53.33,97,51.2,81,26.12,NA,NA,NA,NA,147,26.12
same5len,GAS153,2005-07-18,2010-07-18,5.0,25,54,67,54,22,90,45,54,127.0,54.0,10,54.0,66,54,17,54,164,54,78,90
same5len,GAS153,2010-07-18,2015-07-18,5.0,26,54,9,54,52,67.5,140,54,26.0,54.0,5,27.0,51,27,55,54,39,27,22,54
same5len,GAS153,2000-07-18,2005-07-18,5.0,28,54,37,54,5,54,NA,NA,32.0,54.0,46,54.0,48,27,29,54,54,54,7,135
same5len,GAS153,2015-07-18,2020-07-18,5.0,31,54,81,54,20,90,54,54,11.0,54.0,42,14.21,32,54,57,54,48,54,20,16.88
same3len,GAS153,2015-07-18,2018-07-18,3.0,18,53.33,4,53.33,40,20,62,53.33,7.0,53.33,42,40,32,26.67,57,53.33,65,26.67,11,53.33
same3len,GAS153,2009-07-18,2012-07-18,3.0,22,53.33,19,53.33,25,40,58,53.33,4.0,53.33,10,53.33,77,26.67,21,53.33,27,26.67,29,40
same3len,GAS153,2003-07-18,2006-07-18,3.0,37,53.33,11,53.33,32,53.33,NA,NA,32.0,53.33,28,53.33,6,26.67,17,53.33,7,53.33,7,7.62
same3len,GAS153,2006-07-18,2009-07-18,3.0,4,53.33,67,53.33,22,160,48,53.33,75.0,53.33,67,53.33,66,53.33,31,53.33,21,53.33,10,17.78
same3len,GAS153,2012-07-18,2015-07-18,3.0,52,53.33,9,53.33,16,53.33,5,53.33,16.0,53.33,12,5.52,13,26.67,29,53.33,8,53.33,22,6.4
same3len,GAS153,2000-07-18,2003-07-18,3.0,7,53.33,46,53.33,5,6.96,12,53.33,37.0,53.33,46,53.33,60,26.67,11,53.33,34,26.67,76,26.67
same3len,GAS153,2018-07-18,2021-07-18,3.0,8,53.33,97,53.33,52,80,50,53.33,63.0,53.33,9,8.89,16,26.67,27,53.33,18,53.33,50,26.67
seg,GLR468,2004-01-13,2011-03-08,7.15,10,53.57,111,53.57,30,53.57,18,53.57,135.0,53.57,108,15.62,135,53.57,38,53.57,NA,NA,71,53.57
same5len,GLR468,2004-01-13,2009-01-13,5.0,8,54,164,54,55,54,18,54,135.0,54.0,30,12.27,135,54,38,54,NA,NA,31,54
same3len,GLR468,2004-01-13,2007-01-13,3.0,4,53.33,42,7.62,30,17.78,60,53.33,42.0,17.78,42,16,10,53.33,42,53.33,38,53.33,60,53.33
same3len,GLR468,2007-01-13,2010-01-13,3.0,55,53.33,111,53.33,76,53.33,43,53.33,43.0,53.33,55,53.33,50,53.33,55,53.33,66,53.33,10,53.33
same3len,GLR468,2019-01-22,2022-01-22,3.0,13,13.33,47,53.33,22,53.33,26,53.33,9.0,53.33,47,22.86,44,53.33,14,53.33,44,53.33,44,53.33
same3len,GLR468,2011-03-29,2014-03-29,3.0,107,17.78,61,26.67,4,26.67,26,53.33,10.0,26.67,4,4.1,NA,NA,7,53.33,NA,NA,7,53.33
same3len,GLR468,2000-01-04,2003-01-04,3.0,19,160,21,26.67,57,26.67,4,53.33,64.0,53.33,19,80,64,53.33,15,53.33,36,53.33,43,53.33
seg,GRB411,2012-05-01,2018-12-18,6.63,35,90,63,51.43,57,51.43,18,51.43,57.0,51.43,63,51.43,53,51.43,14,51.43,116,51.43,14,51.43
same5len,GRB411,2012-05-01,2017-05-01,5.0,94,90,48,54,57,54,119,54,57.0,54.0,63,54.0,102,54,39,54,66,54,24,54
same3len,GRB411,2019-07-02,2022-07-02,3.0,39,53.33,54,53.33,4,53.33,28,53.33,15.0,53.33,64,53.33,54,53.33,54,53.33,54,53.33,54,53.33
same3len,GRB411,2015-05-01,2018-05-01,3.0,8,80,7,53.33,50,53.33,84,53.33,11.0,53.33,5,53.33,7,53.33,14,53.33,7,53.33,7,53.33
same3len,GRB411,2000-07-04,2003-07-04,3.0,43,53.33,60,53.33,47,53.33,34,53.33,47.0,53.33,55,53.33,6,53.33,6,53.33,NA,NA,60,53.33
same3len,GRB411,2012-05-01,2015-05-01,3.0,12,40,48,53.33,49,53.33,18,53.33,57.0,53.33,30,53.33,66,53.33,48,53.33,66,53.33,66,53.33
same3len,GRB411,2007-03-27,2010-03-27,3.0,71,53.33,51,53.33,59,53.33,9,53.33,59.0,53.33,8,53.33,51,53.33,51,53.33,51,53.33,31,53.33
seg,GRC474,2010-01-26,2019-01-22,8.99,75,160,28,53.33,144,53.33,102,53.33,45.0,53.33,102,53.33,50,53.33,59,53.33,NA,NA,196,53.33
seg,GRC474,2003-07-29,2009-05-12,5.79,16,64,28,53.33,68,53.33,81,53.33,5.0,53.33,52,53.33,26,53.33,67,53.33,79,53.33,23,53.33
same5len,GRC474,2003-07-29,2008-07-29,5.0,59,67.5,28,54,68,54,51,54,5.0,54.0,52,54.0,26,54,64,54,56,54,90,54
same5len,GRC474,2010-01-26,2015-01-26,5.0,62,135,99,54,158,54,102,54,99.0,54.0,127,54.0,50,54,59,54,NA,NA,65,54
same3len,GRC474,2013-01-26,2016-01-26,3.0,43,26.67,55,53.33,6,53.33,25,53.33,37.0,53.33,4,53.33,57,53.33,57,53.33,106,53.33,5,53.33
same3len,GRC474,2003-07-29,2006-07-29,3.0,59,80,28,53.33,46,53.33,120,53.33,5.0,53.33,87,53.33,5,53.33,5,53.33,79,53.33,72,53.33
same3len,GRC474,2020-04-07,2023-04-07,3.0,6,20,39,53.33,16,53.33,28,53.33,28.0,53.33,27,53.33,54,53.33,15,53.33,54,53.33,41,53.33
same3len,GRC474,2010-01-26,2013-01-26,3.0,62,160,28,53.33,62,53.33,20,53.33,23.0,53.33,99,53.33,13,53.33,74,53.33,50,53.33,23,53.33
